onset	duration	trial_type	value	sample
3.828125	0.0	rating_screen	1	1960
3.8515625	0.0	rating_screen	1	1972
123.875	0.0	video_synch	2	63424
127.041015625	0.0	fixation_screen	3	65045
132.072265625	0.0	music_stim	4	67621
192.201171875	0.0	fixation_screen_after	5	98407
211.00390625	0.0	rating_screen	1	108034
220.4921875	0.0	rating_screen	1	112892
224.7890625	0.0	rating_screen	1	115092
226.755859375	0.0	rating_screen	1	116099
228.9375	0.0	fixation_screen	3	117216
233.96875	0.0	music_stim	4	119792
294.03125	0.0	fixation_screen_after	5	150544
303.40234375	0.0	rating_screen	1	155342
307.45703125	0.0	rating_screen	1	157418
309.9609375	0.0	rating_screen	1	158700
313.9609375	0.0	rating_screen	1	160748
316.123046875	0.0	fixation_screen	3	161855
321.154296875	0.0	music_stim	4	164431
381.216796875	0.0	fixation_screen_after	5	195183
390.181640625	0.0	rating_screen	1	199773
398.197265625	0.0	rating_screen	1	203877
399.951171875	0.0	rating_screen	1	204775
404.685546875	0.0	rating_screen	1	207199
406.82421875	0.0	fixation_screen	3	208294
411.85546875	0.0	music_stim	4	210870
471.91796875	0.0	fixation_screen_after	5	241622
477.484375	0.0	rating_screen	1	244472
480.244140625	0.0	rating_screen	1	245885
482.642578125	0.0	rating_screen	1	247113
491.482421875	0.0	rating_screen	1	251639
493.642578125	0.0	fixation_screen	3	252745
498.67578125	0.0	music_stim	4	255322
558.75390625	0.0	fixation_screen_after	5	286082
563.560546875	0.0	rating_screen	1	288543
567.6875	0.0	rating_screen	1	290656
569.583984375	0.0	rating_screen	1	291627
572.896484375	0.0	rating_screen	1	293323
575.046875	0.0	fixation_screen	3	294424
580.080078125	0.0	music_stim	4	297001
640.140625	0.0	fixation_screen_after	5	327752
646.95703125	0.0	rating_screen	1	331242
657.716796875	0.0	rating_screen	1	336751
664.412109375	0.0	rating_screen	1	340179
669.1484375	0.0	rating_screen	1	342604
671.314453125	0.0	fixation_screen	3	343713
676.345703125	0.0	music_stim	4	346289
736.40625	0.0	fixation_screen_after	5	377040
743.203125	0.0	rating_screen	1	380520
749.44140625	0.0	rating_screen	1	383714
756.6171875	0.0	rating_screen	1	387388
763.44140625	0.0	rating_screen	1	390882
765.580078125	0.0	fixation_screen	3	391977
770.611328125	0.0	music_stim	4	394553
830.673828125	0.0	fixation_screen_after	5	425305
838.486328125	0.0	rating_screen	1	429305
841.703125	0.0	rating_screen	1	430952
845.607421875	0.0	rating_screen	1	432951
851.3828125	0.0	rating_screen	1	435908
853.533203125	0.0	fixation_screen	3	437009
858.580078125	0.0	music_stim	4	439593
918.625	0.0	fixation_screen_after	5	470336
923.69140625	0.0	rating_screen	1	472930
926.01171875	0.0	rating_screen	1	474118
928.33203125	0.0	rating_screen	1	475306
936.923828125	0.0	rating_screen	1	479705
939.0859375	0.0	fixation_screen	3	480812
944.1171875	0.0	music_stim	4	483388
1004.177734375	0.0	fixation_screen_after	5	514139
1013.009765625	0.0	rating_screen	1	518661
1014.984375	0.0	rating_screen	1	519672
1017.45703125	0.0	rating_screen	1	520938
1024.9453125	0.0	rating_screen	1	524772
1027.103515625	0.0	fixation_screen	3	525877
1032.134765625	0.0	music_stim	4	528453
1092.197265625	0.0	fixation_screen_after	5	559205
1098.88671875	0.0	rating_screen	1	562630
1106.365234375	0.0	rating_screen	1	566459
1109.4609375	0.0	rating_screen	1	568044
1111.24609375	0.0	rating_screen	1	568958
1113.40625	0.0	fixation_screen	3	570064
1118.4375	0.0	music_stim	4	572640
1178.5	0.0	fixation_screen_after	5	603392
1184.2265625	0.0	rating_screen	1	606324
1202.859375	0.0	rating_screen	1	615864
1210.41015625	0.0	rating_screen	1	619730
1214.5859375	0.0	rating_screen	1	621868
1216.736328125	0.0	fixation_screen	3	622969
1221.767578125	0.0	music_stim	4	625545
1281.830078125	0.0	fixation_screen_after	5	656297
1287.19140625	0.0	rating_screen	1	659042
1292.703125	0.0	rating_screen	1	661864
1296.328125	0.0	rating_screen	1	663720
1298.20703125	0.0	rating_screen	1	664682
1300.373046875	0.0	fixation_screen	3	665791
1305.404296875	0.0	music_stim	4	668367
1365.466796875	0.0	fixation_screen_after	5	699119
1370.1171875	0.0	rating_screen	1	701500
1372.869140625	0.0	rating_screen	1	702909
1374.67578125	0.0	rating_screen	1	703834
1378.373046875	0.0	rating_screen	1	705727
1380.509765625	0.0	fixation_screen	3	706821
1385.54296875	0.0	music_stim	4	709398
1445.603515625	0.0	fixation_screen_after	5	740149
1449.978515625	0.0	rating_screen	1	742389
1454.193359375	0.0	rating_screen	1	744547
1456.041015625	0.0	rating_screen	1	745493
1459.291015625	0.0	rating_screen	1	747157
1461.44921875	0.0	fixation_screen	3	748262
1466.48046875	0.0	music_stim	4	750838
1526.541015625	0.0	fixation_screen_after	5	781589
1531.111328125	0.0	rating_screen	1	783929
1533.470703125	0.0	rating_screen	1	785137
1535.375	0.0	rating_screen	1	786112
1540.52734375	0.0	rating_screen	1	788750
1542.669921875	0.0	fixation_screen	3	789847
1547.701171875	0.0	music_stim	4	792423
1607.763671875	0.0	fixation_screen_after	5	823175
1612.412109375	0.0	rating_screen	1	825555
1613.98828125	0.0	rating_screen	1	826362
1615.00390625	0.0	rating_screen	1	826882
1622.396484375	0.0	rating_screen	1	830667
1624.556640625	0.0	fixation_screen	3	831773
1629.587890625	0.0	music_stim	4	834349
1689.650390625	0.0	fixation_screen_after	5	865101
1697.40234375	0.0	rating_screen	1	869070
1705.345703125	0.0	rating_screen	1	873137
1707.47265625	0.0	rating_screen	1	874226
1709.13671875	0.0	rating_screen	1	875078
1711.29296875	0.0	fixation_screen	3	876182
1716.32421875	0.0	music_stim	4	878758
1776.38671875	0.0	fixation_screen_after	5	909510
1779.85546875	0.0	rating_screen	1	911286
1781.59765625	0.0	rating_screen	1	912178
1791.181640625	0.0	rating_screen	1	917085
1794.7109375	0.0	rating_screen	1	918892
1796.86328125	0.0	fixation_screen	3	919994
1801.89453125	0.0	music_stim	4	922570
1861.955078125	0.0	fixation_screen_after	5	953321
1866.595703125	0.0	rating_screen	1	955697
1868.259765625	0.0	rating_screen	1	956549
1870.947265625	0.0	rating_screen	1	957925
1874.33984375	0.0	rating_screen	1	959662
1874.3671875	0.0	unknown	6	959676
1874.384765625	0.0	unknown	6	959685
1874.400390625	0.0	unknown	6	959693
1874.41796875	0.0	unknown	6	959702
1874.435546875	0.0	unknown	6	959711
1874.451171875	0.0	unknown	6	959719
1874.46875	0.0	unknown	6	959728
1874.484375	0.0	unknown	6	959736
1874.501953125	0.0	unknown	6	959745
1874.517578125	0.0	unknown	6	959753
1874.53515625	0.0	unknown	6	959762
1874.55078125	0.0	unknown	6	959770
1874.568359375	0.0	unknown	6	959779
